,t_stat,p_value
AP000322.53,0.030123804551618047,0.9759959490128236
RBPJL,-1.2941126270176746,0.19738628380653322
PARN,1.524736664671143,0.12934653755414185
CUL7,-0.9210153492605564,0.35841134785304984
ARHGAP22,-3.2965649578192835,0.0010537050042490547
AMY1A,-0.9984459566233765,0.31872641577902827
SLC35D2,0.8719149954469027,0.38455471749859116
TCF15,0.8798939970246491,0.38056805429216756
COX6A2,1.1477035735100054,0.25355913326966817
CCRN4L,-1.9606460928746015,0.05144113647341291
SCN4A,-4.816488088921045,2.827410122635481e-06
GTF2I,-1.5645548711464734,0.11991717601766524
TRMT10B,1.569439314482066,0.11885150147053429
WFIKKN1,1.9075427858107041,0.05905948385077043
PCDH20,-1.0621896178454893,0.28870667027402047
CLIC5,-5.298073810495455,1.9048522340738165e-07
SMTN,0.9097978562524835,0.3641260764086437
CICP27,1.991205834161865,0.04850666035164212
RPE65,-1.3665802863773322,0.1724318993189228
LONRF2,-1.1831754425212302,0.23845075372107996
HDLBP,-1.569114829773327,0.11821354833110799
PTGER1,0.773495914257641,0.440587847185019
SLC9A8,2.387056523653138,0.018463529456923596
LMX1B,0.8484893521330292,0.3979169578404984
SMTNL2,-2.2810921434587415,0.02330014612628984
XKRX,3.7965819198151616,0.00024314122149082695
PGA3,-1.4863710759897257,0.13804299702138206
KRTAP13-2,0.8233866400891676,0.41120394054620024
PC,0.2543872254725561,0.7994360501681235
FAM109B,2.6617557194953676,0.00842441158078188
C1orf159,4.61849313179785,8.394761258768079e-06
STK40,-1.5088341880225378,0.13312101072560364
SNAP23,-3.437279337987708,0.0007314437041008403
GNG2,-1.8750586195088974,0.06237955354609057
SULT1A4,1.8314948964960305,0.06899903601762843
MIEN1,4.571776489223338,1.1011667493783559e-05
PHGDH,-0.02174294771932284,0.9826872023589152
RNF135,4.992630789219913,1.6080601563089383e-06
GTF2H2C,-3.5680749758588473,0.00046351186321244044
AKR1B15,3.8876836036916735,0.00018027395172884325
PTS,1.9116955616449278,0.05807786491926761
ENTHD1,1.0139602423157792,0.31196525926029717
DDX3X,-2.745587662871629,0.0066743740702375765
PABPC4L,-4.869327809461038,1.6258310607606891e-06
TBC1D13,2.2486856600863536,0.025874926354634724
SMARCAL1,-3.3979211486449565,0.0008565830754715805
FN3KRP,1.8130370984367732,0.07192625483699956
BRAP,-0.3931107945779487,0.6947518727506727
DYNC1LI2,0.22475980616898672,0.8223738179796907
KCTD2,1.782035452420441,0.0765057351507281
RPS28,2.337111841289317,0.021025229289887284
TSHR,-0.8253658330506151,0.41017823674728215
PRUNE2,-0.3077371308410277,0.7586060577817638
SPSB3,4.6573761198688715,7.401715553926826e-06
SAMD8,-6.441495874804665,6.827385260411007e-10
NKX6-1,-1.673530774746827,0.09545761589799251
ZC3H7A,0.3623768515508152,0.7176417417631684
SWI5,2.992730653164731,0.003233586036711413
ZBTB17,1.2518451714935506,0.2125982043283082
RPN2,-0.9510331202420872,0.3429920772114139
PTF1A,-0.7368803431678262,0.46159551502638396
LAMA1,1.0901537548738403,0.27717216195828476
CCPG1,-4.6535975607581115,5.317657853885254e-06
COBLL1,-1.6112596811905096,0.10869234676167523
ATP12A,2.2908440471713667,0.022716710401338276
CIB2,2.0291366609211563,0.044100826773208576
LCE1F,2.9235525613282354,0.004261985860377353
TMEM42,1.0256576997497506,0.3064430957416412
GEMIN8P4,1.7700715049368727,0.07858029416397694
ALAD,2.978335487219397,0.0033794413255854045
FAM186A,-0.3629103123379516,0.7168606765936506
LINC00882,-1.2717941300986884,0.20411053027701145
DPP9,0.643285424478627,0.5210058401357603
NAT2,-1.427445159743545,0.15412143658162994
AS3MT,0.15490562602204563,0.8770025430258697
NUDT7,1.3441593393106317,0.1813016587662489
AQP1,0.48411732849550276,0.629107999907096
MRPL23,3.511591265998526,0.0006252472424054156
LGALS8,0.04263085115487078,0.9660541285548768
LINC00094,0.3315929885940135,0.7405544476908805
ADPRH,1.5718164395206657,0.11803798585752422
FAAH,2.699516963391095,0.00793491302180434
CASK,-2.1286134084442523,0.03458721507210062
RDH12,3.4760424642879473,0.0007300624542846946
