,normal,median,mean
ZC3H7A,-0.05910899901994607,-0.13084944050838296,-0.017868401181457837
SWI5,0.02252781928086828,-0.15294286972329782,0.026901986298489024
ZBTB17,-0.22053836196814347,-0.09422194518291654,0.05486797478374498
RPN2,-0.5743769241275339,-0.1741486532745708,0.018994998166394952
PTF1A,-0.06893345760655632,-0.06893345760655632,-0.054481001660132464
LAMA1,-0.6625938303175262,-0.39196447034929055,-0.024821228657638892
CCPG1,0.1438726242594143,-0.2290439421463264,0.020509917271372174
COBLL1,-0.34881310917456393,-0.2460174543411384,-0.012285510768593216
ATP12A,-0.10866095428294037,-0.10862615540225248,-0.019028686354275837
CIB2,-0.5307133629847035,-0.27270721678936566,-0.0163482249086311
LCE1F,-0.14774429511854417,-0.14774429511854417,0.06316450057161058
TMEM42,1.237589832553288,-0.1269798922387126,0.007997329217690507
GEMIN8P4,-0.11101041362696683,-0.11697659406432971,0.06312543537744127
ALAD,0.8932757470923722,-0.10230617203969447,0.08105646625702488
FAM186A,-0.05238897122254954,-0.07236863869116969,0.028487655084412606
LINC00882,-0.17943729944470224,-0.13161204810391725,-0.044971977622985146
DPP9,-0.7807510291562012,-0.24508614663706305,-0.031153269913424424
NAT2,-0.15209992186864585,-0.15209992186864585,-0.051377084632954574
AS3MT,-0.25091643602044045,-0.2148972952819929,0.02554172056798513
NUDT7,0.6974311869879932,-0.12079138888192366,0.06398289261681304
AQP1,-0.22918729143403957,-0.21493206402891094,0.04201026993683032
MRPL23,-0.2538304020128998,-0.2547613367935195,0.06043931025050502
LGALS8,0.09995997133400478,-0.13065163711082173,-0.03618166876859418
LINC00094,-0.7185193589298879,-0.2051365107605885,-0.03029975846358936
ADPRH,0.7511189230164144,0.0021993842162881623,0.03947950406973455
FAAH,-0.2977755052724657,-0.31613680088093604,0.031351375120082396
CASK,-0.7422905483571792,-0.20275016144312202,-0.06241104940546802
RDH12,0.06747942391056651,-0.21720713739342748,0.060470050434257
